scenario_family,budget,policy_kind,latency_days,block_count,policy_value_mean,policy_value_ci_low,policy_value_ci_high,stale_regret_mean,stale_regret_ci_low,stale_regret_ci_high,relative_loss_mean,relative_loss_ci_low,relative_loss_ci_high,target_overlap_mean,target_overlap_ci_low,target_overlap_ci_high,missed_at_risk_mean,missed_at_risk_ci_low,missed_at_risk_ci_high,window_miss_rate_mean,window_miss_rate_ci_low,window_miss_rate_ci_high,selected_customers_mean,selected_customers_ci_low,selected_customers_ci_high,partial_reopt_optimization_call_ratio_mean,partial_reopt_optimization_call_ratio_ci_low,partial_reopt_optimization_call_ratio_ci_high,partial_reopt_regret_recovery_ratio_mean,partial_reopt_regret_recovery_ratio_ci_low,partial_reopt_regret_recovery_ratio_ci_high,partial_reopt_full_refresh_value_ratio_mean,partial_reopt_full_refresh_value_ratio_ci_low,partial_reopt_full_refresh_value_ratio_ci_high
dormancy-heavy,7550000,stronger-but-stale,3,16,4482628.404084,4443909.945577,4511372.160493,16349.600534,12759.944104,20237.572263,0.003638,0.00275,0.004437,0.824986,0.821253,0.829104,0.149017,0.144055,0.15369,0.000248,0.0,0.000588,1205.4375,1192.359375,1221.542187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dormancy-heavy,7550000,weaker-but-fresh,0,16,4459656.095897,4437473.246312,4486323.395615,39321.908721,29798.910005,49059.652324,0.008678,0.006614,0.010883,0.71991,0.706934,0.735243,0.279559,0.257341,0.299643,0.0,0.0,0.0,1153.375,1140.467187,1171.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,2760000,base-stale,0,16,1975341.900864,1924755.287571,2014633.543159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,527.875,509.703125,538.940625,5.6e-05,2.5e-05,9.4e-05,0.0,0.0,0.0,1.0,1.0,1.0
promotion-heavy,2760000,base-stale,1,16,1954171.115915,1912836.504407,1989993.318272,21170.784949,16865.544954,26089.3607,0.010601,0.008245,0.01274,0.926096,0.920394,0.931882,0.072857,0.065995,0.078717,0.000116,0.0,0.000347,523.8125,510.434375,534.509375,0.028731,0.027472,0.029883,0.453549,0.061484,0.727194,0.99592,0.994016,0.997541
promotion-heavy,2760000,base-stale,3,16,1951341.519468,1913266.233771,1991684.735435,24000.381396,18105.291757,30073.0512,0.012019,0.009595,0.014287,0.913508,0.906882,0.919203,0.08406,0.076978,0.092465,0.000497,0.0,0.000965,522.625,507.18125,534.3125,0.030756,0.029975,0.031354,0.514437,0.274644,0.723427,0.995158,0.993185,0.996858
promotion-heavy,2760000,base-stale,7,16,1947455.927865,1908127.639081,1982146.921836,27885.972999,22744.705333,33590.871904,0.01395,0.011059,0.01701,0.896473,0.890671,0.903083,0.099896,0.091434,0.106624,0.001756,0.000766,0.002825,521.625,507.5,533.220312,0.033444,0.03258,0.034347,0.237747,-0.406779,0.60137,0.993248,0.991443,0.995339
promotion-heavy,2760000,full-refresh,0,16,1975341.900864,1930130.8677,2014807.876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,527.875,511.882812,539.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
promotion-heavy,2760000,stronger-but-stale,3,16,1935004.416428,1890861.936342,1974108.700744,40337.484436,32802.510041,47440.628879,0.020373,0.017032,0.023777,0.796555,0.787681,0.806584,0.193838,0.184347,0.202282,0.000886,0.000347,0.00154,515.75,501.023438,528.88125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,2760000,weaker-but-fresh,0,16,1946946.183381,1913993.542822,1972934.004541,28395.717483,6623.828143,44894.066512,0.01355,0.004009,0.022427,0.602694,0.58529,0.620725,0.445335,0.422302,0.471272,0.0,0.0,0.0,462.3125,455.089063,470.521875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,5480000,base-stale,0,16,3631824.498992,3573700.863844,3686449.237811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.375,1000.145313,1058.890625,5.6e-05,1.9e-05,9.4e-05,0.0,0.0,0.0,1.0,1.0,1.0
promotion-heavy,5480000,base-stale,1,16,3595432.209584,3544465.974987,3646206.596428,36392.289408,29271.551539,42747.783076,0.009939,0.008385,0.011529,0.923144,0.919931,0.926415,0.076438,0.071079,0.081375,6e-05,0.0,0.000179,1025.6875,994.523438,1045.3125,0.028731,0.027652,0.029803,0.550346,0.350883,0.717506,0.996439,0.995775,0.99713
promotion-heavy,5480000,base-stale,3,16,3591887.61271,3525561.18991,3643830.265612,39936.886282,31901.37554,46171.889601,0.010925,0.00902,0.012266,0.912514,0.909227,0.916056,0.085075,0.079542,0.090841,0.000255,6e-05,0.000511,1024.0,994.471875,1044.503125,0.030756,0.030025,0.031336,0.463444,0.088007,0.69615,0.995934,0.994967,0.996988
promotion-heavy,5480000,base-stale,7,16,3588318.578172,3524720.028518,3638173.111037,43505.920819,36322.64819,50855.036886,0.0119,0.010157,0.013568,0.898403,0.894694,0.902415,0.095629,0.089659,0.101288,0.000896,0.00042,0.00147,1023.625,994.034375,1043.970313,0.033444,0.032684,0.0343,0.570106,0.460195,0.68167,0.995168,0.99419,0.996355
promotion-heavy,5480000,full-refresh,0,16,3631824.498992,3569656.561438,3686939.270012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.375,1008.5625,1060.354687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
promotion-heavy,5480000,stronger-but-stale,3,16,3573734.272275,3512192.42971,3616857.538474,58090.226717,49523.219416,66726.687722,0.015916,0.013454,0.018386,0.813678,0.806273,0.81965,0.164455,0.157623,0.172432,0.000453,0.000123,0.000857,1015.375,989.767187,1036.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,5480000,weaker-but-fresh,0,16,3576989.55085,3538440.685443,3614359.357711,54834.948142,26020.535413,76931.470406,0.014634,0.005678,0.020682,0.656725,0.642159,0.673944,0.371429,0.346575,0.391283,0.0,0.0,0.0,923.25,913.375,933.720312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,7550000,base-stale,0,16,4833768.981454,4772949.727426,4896968.076952,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.4375,1362.8,1430.134375,5.6e-05,2.5e-05,9.4e-05,0.0,0.0,0.0,1.0,1.0,1.0
promotion-heavy,7550000,base-stale,1,16,4797283.29787,4724522.72074,4850924.843784,36485.683583,29937.728679,42911.977398,0.007498,0.006095,0.008828,0.920655,0.917206,0.924354,0.079635,0.074408,0.083681,4.4e-05,0.0,0.000133,1389.625,1359.135937,1414.289062,0.028731,0.027712,0.029835,0.69044,0.557055,0.804852,0.997714,0.996543,0.998654
promotion-heavy,7550000,base-stale,3,16,4794589.595681,4734006.447624,4846913.365794,39179.385772,32661.920226,44926.791807,0.008065,0.006764,0.009279,0.912937,0.909601,0.916696,0.085487,0.080282,0.090373,0.000186,4.3e-05,0.000338,1389.3125,1349.042187,1413.039062,0.030756,0.030062,0.031357,0.695511,0.589051,0.80083,0.997543,0.996493,0.998404
promotion-heavy,7550000,base-stale,7,16,4792756.116038,4719095.207172,4847434.185091,41012.865416,35387.609745,46107.257411,0.008457,0.007415,0.009643,0.899801,0.896257,0.904351,0.097548,0.091568,0.101639,0.000652,0.000327,0.001052,1389.1875,1345.998437,1413.664062,0.033444,0.032706,0.034142,0.629146,0.544753,0.711273,0.996946,0.996122,0.997744
promotion-heavy,7550000,full-refresh,0,16,4833768.981454,4760716.64058,4888915.095974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.4375,1364.123437,1429.470313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
promotion-heavy,7550000,stronger-but-stale,3,16,4778160.472706,4699009.235303,4829538.265685,55608.508748,49640.753068,62045.428223,0.011482,0.010348,0.012742,0.835809,0.832446,0.838761,0.146554,0.143153,0.150144,0.000333,0.000133,0.000597,1382.6875,1345.4,1407.285938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
promotion-heavy,7550000,weaker-but-fresh,0,16,4780609.730655,4731423.083872,4825140.724196,53159.250799,29512.237203,70068.98398,0.010773,0.005227,0.014371,0.698303,0.684902,0.712061,0.321867,0.301462,0.341853,0.0,0.0,0.0,1273.0,1261.092187,1288.470313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasonal-shift,2760000,base-stale,0,16,1875647.103573,1841157.614141,1909512.937383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,498.3125,483.554688,506.720312,5.6e-05,3.1e-05,8.8e-05,0.0,0.0,0.0,1.0,1.0,1.0
seasonal-shift,2760000,base-stale,1,16,1856801.541806,1819593.284017,1883483.083261,18845.561768,14851.683416,22427.249511,0.009993,0.008075,0.011932,0.92628,0.921479,0.931264,0.072087,0.066046,0.077828,0.0,0.0,0.0,492.6875,482.2875,500.875,0.028812,0.027686,0.029897,0.638827,0.541035,0.730951,0.996535,0.995531,0.997573
seasonal-shift,2760000,base-stale,3,16,1854203.644655,1814199.497178,1885890.77307,21443.458918,16994.940406,25177.157704,0.011396,0.009004,0.013928,0.914661,0.908643,0.920413,0.081251,0.075406,0.086967,0.000521,0.000122,0.001042,492.4375,478.55625,501.726562,0.030713,0.029937,0.031316,0.738912,0.505398,1.123722,0.995172,0.993798,0.996408
seasonal-shift,2760000,base-stale,7,16,1849545.929583,1813143.2666,1880015.65458,26101.17399,22569.668278,29981.635765,0.013857,0.011795,0.015912,0.894509,0.88902,0.900168,0.099308,0.093454,0.10472,0.00146,0.000432,0.002704,490.9375,479.540625,499.5,0.033263,0.032569,0.034275,0.495762,0.421348,0.575918,0.993254,0.992142,0.994478
seasonal-shift,2760000,full-refresh,0,16,1875647.103573,1835892.444802,1906369.773972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,498.3125,485.49375,506.845312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seasonal-shift,2760000,stronger-but-stale,3,16,1843945.407265,1808496.597776,1877528.476549,31701.696308,26888.388894,36482.874635,0.016895,0.014418,0.019417,0.791398,0.783443,0.799616,0.195849,0.188716,0.202679,0.000557,0.0,0.001289,484.25,472.695312,493.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasonal-shift,2760000,weaker-but-fresh,0,16,1843441.372677,1816960.110716,1862269.367372,32205.730896,13300.693433,46210.14902,0.016526,0.006244,0.023585,0.607687,0.586491,0.630725,0.432316,0.403841,0.458673,0.0,0.0,0.0,443.6875,438.717188,449.503125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasonal-shift,5480000,base-stale,0,16,3479387.899566,3423987.294153,3523246.881125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,953.25,929.74375,968.503125,5.6e-05,2.5e-05,8.8e-05,0.0,0.0,0.0,1.0,1.0,1.0
seasonal-shift,5480000,base-stale,1,16,3451838.324325,3409724.590722,3493470.964896,27549.575241,22215.508312,33197.274105,0.007855,0.006161,0.009207,0.92151,0.917338,0.925345,0.081053,0.076107,0.086273,0.0,0.0,0.0,942.125,921.490625,955.348438,0.028812,0.027697,0.029988,0.590099,0.422988,0.767267,0.997079,0.995923,0.998338
seasonal-shift,5480000,base-stale,3,16,3450149.635393,3406107.460088,3487910.471513,29238.264173,23684.060909,34620.228144,0.008339,0.006662,0.00993,0.912054,0.907915,0.916695,0.089165,0.083513,0.094193,0.000273,6.5e-05,0.000507,941.375,918.592188,956.19375,0.030713,0.030062,0.031291,0.583602,0.385873,0.768187,0.997073,0.995958,0.998279
seasonal-shift,5480000,base-stale,7,16,3447222.855781,3402099.445786,3485736.119901,32165.043785,25943.346291,38371.544729,0.009174,0.007111,0.010926,0.896817,0.892118,0.902803,0.102198,0.09416,0.109286,0.000762,0.000283,0.001381,940.25,919.790625,954.535938,0.033263,0.032431,0.03406,0.776009,0.611352,1.014541,0.996862,0.99578,0.998132
seasonal-shift,5480000,full-refresh,0,16,3479387.899566,3416489.953441,3522802.065111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,953.25,922.898438,970.298437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seasonal-shift,5480000,stronger-but-stale,3,16,3441470.843398,3396326.501178,3486979.386492,37917.056168,30289.577702,46304.126877,0.010838,0.00937,0.012812,0.813337,0.807978,0.818767,0.168149,0.161848,0.174376,0.000288,0.0,0.000709,937.1875,918.5,951.664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasonal-shift,5480000,weaker-but-fresh,0,16,3436104.860408,3407248.954867,3460361.782365,43283.039158,15513.31297,60809.140457,0.012081,0.004351,0.017998,0.674218,0.655438,0.691669,0.341597,0.31885,0.364874,0.0,0.0,0.0,877.5625,869.309375,886.667187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasonal-shift,7550000,base-stale,0,16,4662502.7477,4599755.224098,4710754.325981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.25,1256.739063,1300.032813,5.6e-05,2.5e-05,8.8e-05,0.0,0.0,0.0,1.0,1.0,1.0
seasonal-shift,7550000,base-stale,1,16,4634024.16841,4581170.788552,4675041.331516,28478.579289,23068.017617,33721.410548,0.006089,0.005077,0.00714,0.919931,0.916268,0.923813,0.084036,0.078233,0.089157,0.0,0.0,0.0,1272.1875,1247.048438,1290.13125,0.028812,0.027646,0.029854,0.73843,0.603175,0.873286,0.998235,0.997511,0.999009
seasonal-shift,7550000,base-stale,3,16,4631968.016304,4580842.486419,4675287.926939,30534.731395,25112.877188,36355.839143,0.006529,0.005359,0.007668,0.911877,0.907951,0.917319,0.091349,0.083976,0.096447,0.0002,4.8e-05,0.000382,1272.0625,1246.729687,1289.098438,0.030713,0.029994,0.031379,0.730077,0.631365,0.839844,0.998145,0.997163,0.998882
seasonal-shift,7550000,base-stale,7,16,4630533.920311,4581112.18871,4673925.5456,31968.827389,28310.203056,35994.543564,0.006844,0.005987,0.007669,0.897644,0.89402,0.902754,0.104078,0.096724,0.108857,0.000558,0.000196,0.001059,1271.1875,1243.842187,1287.782813,0.033263,0.032406,0.034063,0.692429,0.606871,0.77661,0.997963,0.997297,0.998547
seasonal-shift,7550000,full-refresh,0,16,4662502.7477,4607516.74419,4704846.057409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1283.25,1260.089062,1300.31875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
seasonal-shift,7550000,stronger-but-stale,3,16,4626077.740303,4579408.781044,4671759.61686,36425.007396,31682.394979,41023.472829,0.007803,0.006917,0.008946,0.831951,0.828074,0.835556,0.155047,0.150984,0.158646,0.000211,0.0,0.000485,1269.125,1241.664062,1288.509375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seasonal-shift,7550000,weaker-but-fresh,0,16,4622593.464627,4588470.889217,4652394.141225,39909.283073,19705.695834,54192.501672,0.008387,0.003938,0.011783,0.720776,0.702145,0.73911,0.2837,0.257766,0.311269,0.0,0.0,0.0,1203.125,1192.839062,1215.532813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
